Country,Population,fatality_rate,fatality_score,score_terrorism,score_security,score_governance,score_pol_sanctions_international,group_1_label,group_2_label,group_3_label,group_4_label,score_violence_events,score_political
Sierra Leone,8368119.000000001,0.07170070119700735,40.0,0.0,20.0,41.7949506,,,,,,0,
El Salvador,6295263.0,0.15884959849969732,40.0,0.0,20.0,34.0008521,,,,,,0,
Republic of Serbia,6788068.0,0.029463464420215,30.0,5.819999999999999,17.91,36.9862307,15.0,No,No,Indecisive,No,0,21.246557675
Suriname,626028.0,0.0,0.0,,0.0,25.936712299999996,,,,,,0,
Slovakia,5516536.0,0.0,0.0,10.229999999999999,5.114999999999999,,,,,,,0,
Slovenia,2117568.0,0.0,0.0,0.0,0.0,21.791231600000003,,,,,,0,
Sweden,10521910.0,0.009503977889945836,20.0,18.42,19.21,23.796664500000006,,,,,,0,
Swaziland,1224706.0,0.1633044992022575,40.0,0.8699999999999999,20.435,46.6227114,,,,,,0,
Syria,23014618.0,34.3694603143098,100.0,80.06,90.03,74.5560595,41.25,No,No,Yes,Yes,95,56.451514875
Chad,18767684.0,1.8862210169352809,60.0,50.32,55.16,64.4926157,,,,,,40,
Togo,9196283.0,0.3153447974578425,40.0,50.03999999999999,45.019999999999996,47.932250100000005,,,,,,0,
Thailand,71715662.0,0.1282843906537459,40.0,46.3,43.15,45.7779955,,,,,,20,
Tajikistan,10287891.0,0.12636214749942432,40.0,9.99,24.995,38.8141874,,,,,,0,
Turkmenistan,7298173.0,0.027404118811653274,30.0,0.0,15.0,29.91055010000001,,,,,,0,
East Timor,1376847.0,0.0,0.0,0.0,0.0,25.120500399999997,,,,,,0,
Trinidad and Tobago,1500110.0,12.06578184266487,90.0,0.0,45.0,27.955998300000005,,,,,,40,
Tunisia,12160602.0,0.02466983131262745,30.0,21.840000000000003,25.92,49.9029697,15.0,No,No,Indecisive,No,0,25.975742425
Turkey,87169328.0,0.017207887618452215,30.0,39.68,34.84,50.6868956,0.0,No,No,No,No,5,21.6717239
Taiwan,,,,0.0,0.0,,3.75,No,No,No,No,0,
United Republic of Tanzania,65657004.0,0.19495254459067307,40.0,15.73,27.865000000000002,40.7605316,,,,,,10,
Uganda,47981110.0,0.4126623998486071,40.0,37.019999999999996,38.51,51.5668422,,,,,,40,
Ukraine,38024411.0,206.07814280147562,100.0,20.03,60.015,41.4902388,3.75,No,No,No,No,95,44.0600597
Uruguay,3388682.0,0.0,0.0,0.59,0.295,12.27638730000001,,,,,,0,
United States of America,342475098.0,0.016351553828885975,30.0,35.17,32.585,35.7302804,3.75,No,No,No,No,20,30.8700701
Uzbekistan,35294160.0,0.01699997960002448,30.0,2.33,16.165,34.5622577,,,,,,0,
Venezuela,28250783.0,1.5787173049327519,60.0,7.1,33.55,,33.75,No,No,Yes,No,40,
Vietnam,100029091.0,0.0,0.0,0.0,0.0,34.0086926,,,,,,0,
Vanuatu,316732.0,,,,,17.703580700000003,,,,,,0,
Palestinian Territories,5367977.0,314.5691570586089,100.0,49.3,74.65,,,,,,,95,
Yemen,38794337.0,7.477895549548895,80.0,50.8,65.4,,57.5,Indecisive,Indecisive,Yes,No,75,
South Africa,62796883.0,0.2563821519612685,40.0,0.0,20.0,44.6472568,,,,,,20,
Zambia,20430382.0,0.08320940841928458,40.0,0.0,20.0,35.82717410000001,,,,,,0,
Zimbabwe,16203259.0,0.04320118563802504,30.0,0.0,15.0,51.4816631,37.5,No,No,Yes,Indecisive,10,30.245415774999998
Somalia,18031404.0,54.393989508526346,100.0,76.14,88.07,,57.5,Indecisive,Indecisive,Yes,No,85,
Morocco,37523726.0,0.1439089497668755,40.0,0.0,20.0,41.6351813,,,,,,0,
